hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
Hari Guest House Full house with 6bedroom-15sleeps,Entire villa,16,Not rated,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/6875531/pexels-photo-6875531.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$277,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Escape the ordinary at Hari Guest House Full house with 6bedroom-15sleeps, a villa-style villa retreat in Galle where Beach Access, Ocean View, and warm hospitality create lasting memories.",6.011479,80.194279
Hari Guest House _ Three bed room first floor,Private room in villa,9,4.99,Central Province,Nuwara Eliya District,Nuwara Eliya,Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,villa | hillside | nature,https://images.pexels.com/photos/2771935/pexels-photo-2771935.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$118,Mountain View; Family Friendly; Free Parking; Free WiFi,"Your private slice of paradise awaits at Hari Guest House _ Three bed room first floor — an expansive villa room in Nuwara Eliya boasting Mountain View, Family Friendly, and sweeping hillside views.",6.9098,80.766897
Hari Guest House Family kingsize Bed Room with A/c,Entire villa,5,4.99,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/28408340/pexels-photo-28408340.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$283,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Escape the ordinary at Hari Guest House Family kingsize Bed Room with A/c, a villa-style villa retreat in Galle where Beach Access, Ocean View, and warm hospitality create lasting memories.",6.067068,80.207483
J Hotel,Room in hotel,15,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,hotel | lobby | luxury,https://images.pexels.com/photos/19866598/pexels-photo-19866598.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$119,Beach Access; Spa & Wellness; Restaurant On-site; Family Friendly; Air Conditioning; Free WiFi,"Indulge in effortless elegance at J Hotel, a sophisticated hotel room in Colombo where Beach Access and Spa & Wellness set the tone for an unforgettable stay.",6.914118,79.832151
Tony's Garden House 🏡 inn,Private room in home,16,4.08,Western Province,Colombo District,Colombo,Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,garden | tropical | nature,https://images.pexels.com/photos/20649211/pexels-photo-20649211.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$40,Beach Access; Breakfast Included; Restaurant On-site; Family Friendly; Garden; Free Parking,Let the fragrance of tropical blooms welcome you to Tony's Garden House 🏡 inn — a charming private room in Colombo with a garden retreat feel and proximity to Mount Lavinia Beach.,6.903798,79.904865
Jaffna Eco Resort,Private room in villa,8,4.77,Northern Province,Jaffna District,Jaffna,Eco-friendly nature walks; Sustainable living experience; Guided eco tours; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,jungle | tropical | forest,https://images.pexels.com/photos/14917453/pexels-photo-14917453.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$81,Restaurant On-site; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Enjoy an authentic stay at Jaffna Eco Resort, a well-appointed villa room in Jaffna with Restaurant On-site and a short distance from Nallur Kovil.",9.676304,80.036413
Hari Guest House _ Three rooms in Ground Floor,Private room in villa,8,4.8,Eastern Province,Trincomalee District,"Trincomalee, Nilaveli",Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour,Nilaveli Beach (Beaches); Marble Beach (Beaches); Pigeon Island National Park (National Parks); Koneswaram Temple (Religious Sites); Kanniya Hot Springs (Nature & Wildlife Areas); Fort Frederick Trincomalee (Historic Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours,villa | luxury | tropical,https://images.pexels.com/photos/14012231/pexels-photo-14012231.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$133,Beach Access; Spa & Wellness; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Hari Guest House _ Three rooms in Ground Floor redefines luxury in Trincomalee, pairing a refined ambience with Beach Access, Spa & Wellness, and seamless access to Nilaveli Beach.",8.554514,81.238113
Spacious Full House Rental,Entire home,8,4.79,Western Province,Colombo District,Colombo,Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,spa | wellness | relaxation,https://images.pexels.com/photos/14357627/pexels-photo-14357627.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$107,Beach Access; Full Kitchen; Family Friendly; Free Parking; Free WiFi,"Enjoy an authentic stay at Spacious Full House Rental, a well-appointed home in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.89344,79.849146
Deya's Villa,Entire home,8,4,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/28999982/pexels-photo-28999982.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$168,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Where refined comfort meets tropical splendour — Deya's Villa in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.976052,79.8752
Jaffna retreat,Entire home,6,Not rated,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/13025686/pexels-photo-13025686.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$88,Full Kitchen; Family Friendly; Heritage Property; Garden; Free Parking; Air Conditioning,"Steeped in history and character, Jaffna retreat is a remarkable home in Jaffna where colonial charm meets modern comfort, just moments from Nallur Kovil.",9.667195,80.043961
